"NODE1","COUNTRY1","NODE2","COUNTRY2","DETAIL","USES","TYPE","ROLE","GOODS1","GOODS2","GOODS3","DIR","DIST","TRAVMODE","TRAVTIME","EARLYDATE","LATEDATE","DATAQLTY","SRC","LONG1","LAT1","COORDSRC1","LONG2","LAT2","COORDSRC2","NODEID1","NODEID2","PROBL","DATAID"
"Pendjikent","TJ","Samarqand","UZ","Sogdian Route","trd","cd","maj","A001","B001","C001","nkn","d000dd","nkn","t000t","400","800","QC3","Jonboboev & Mamadambarova. n.d. (1)","67.616669","39.483334","ADL4040559","66.95","39.667","TGN7012290","220","141","P000","tmcTJm0400b_011a"
"Samarqand","TJ","loc02-tmc040918","UZ","Sogdian Route; Jizzakh","trd","cd","min","A001","B001","C001","nkn","d000dd","nkn","t000t","400","800","QC3","Jonboboev & Mamadambarova. n.d. (1)","66.95","39.667","TGN7012290","67.833336","40.099998","ADL4228739","141","674","P000","tmcTJm0400b_012a"
"loc02-tmc040918","TJ","Ura-Tyube","UZ","Sogdian Route; Jizzakh","trd","cd","min","A001","B001","C001","nkn","d000dd","nkn","t000t","400","800","QC3","Jonboboev & Mamadambarova. n.d. (1)","67.833336","40.099998","ADL4228739","69.01667","39.916668","adlgaz-1-4041216-6e","674","501","P000","tmcTJm0400b_013a"
"Aini","TJ","loc03-tmc040918","UZ","Sogdian Route; Anzob Pass","trd","cd","min","A001","B001","C001","nkn","d000dd","nkn","t000t","400","800","QC3","Jonboboev & Mamadambarova. n.d. (1)","68.5333","39.3833","adlgaz-1-4038923-7b","68.8333","39.0833","adlgaz-1-4038866-56","1929","1934","P000","tmcTJm0400b_014a"
"loc03-tmc040918","TJ","Dushanbe","UZ","Sogdian Route; Anzob Pass","trd","cd","min","A001","B001","C001","nkn","d000dd","nkn","t000t","400","800","QC3","Jonboboev & Mamadambarova. n.d. (1)","68.8333","39.0833","adlgaz-1-4038866-56","68.773331","38.561111","ADL4039335","1934","1068","P000","tmcTJm0400b_015a"
"loc04-tmc040918","KG","Jirgital","TJ","Karategin  Route; Irkeshtam","trd","cd","maj","A001","B001","C001","nkn","d000dd","nkn","t000t","400","800","QC3","Jonboboev & Mamadambarova. n.d. (1)","73.916664","39.683334","adlgaz-1-2608634-7a","71.2","39.2167","adlgaz-1-4039416-63","183","1941","P000","tmcTJm0400b_016a"
"Jirgital","TJ","Garm","TJ","Karategin  Route","trd","cd","maj","A001","B001","C001","nkn","d000dd","nkn","t000t","400","800","QC3","Jonboboev & Mamadambarova. n.d. (1)","71.2","39.2167","adlgaz-1-4039416-63","70.3794444","39.0241667","www.calle.com","1941","1847","P000","tmcTJm0400b_017a"
"Garm","TJ","Komsomolabad","TJ","Karategin  Route","trd","cd","maj","A001","B001","C001","nkn","d000dd","nkn","t000t","400","800","QC3","Jonboboev & Mamadambarova. n.d. (1)","70.3794444","39.0241667","www.calle.com","69.9622","38.8669","www.calle.com","1847","1964","P001","tmcTJm0400b_018a"
"Komsomolabad","TJ","Kafernihon","TJ","Karategin  Route","trd","cd","maj","A001","B001","C001","nkn","d000dd","nkn","t000t","400","800","QC3","Jonboboev & Mamadambarova. n.d. (1)","69.9622","38.8669","www.calle.com","69.0197","38.5531","www.calle.com","1964","1942","P001","tmcTJm0400b_019a"
"Kafernihon","TJ","Dushanbe","TJ","Karategin  Route","trd","cd","maj","A001","B001","C001","nkn","d000dd","nkn","t000t","400","800","QC3","Jonboboev & Mamadambarova. n.d. (1)","69.0197","38.5531","www.calle.com","68.773331","38.561111","ADL4039335","1942","1068","P000","tmcTJm0400b_020a"
"Dushanbe","TJ","Gissar","TJ","Karategin  Route","trd","cd","maj","A001","B001","C001","nkn","d000dd","nkn","t000t","400","800","QC3","Jonboboev & Mamadambarova. n.d. (1)","68.773331","38.561111","ADL4039335","68.5514","38.5247","ADL","1068","1936","P000","tmcTJm0400b_021a"
"Gissar","TJ","Regar","TJ","Karategin  Route","trd","cd","maj","A001","B001","C001","nkn","d000dd","nkn","t000t","400","800","QC3","Jonboboev & Mamadambarova. n.d. (1)","68.5514","38.5247","ADL","68.2333","38.5","adlgaz-1-4041157-29","1936","1935","P000","tmcTJm0400b_022a"
