"NODE1","COUNTRY1","NODE2","COUNTRY2","DETAIL","USES","TYPE","ROLE","GOODS1","GOODS2","GOODS3","DIR","DIST","TRAVMODE","TRAVTIME","EARLYDATE","LATEDATE","DATAQLTY","SRC","LONG1","LAT1","COORDSRC1","LONG2","LAT2","COORDSRC2","NODEID1","NODEID2","PROBL","DATAID"
"Merv","TM","Mashhad","IR","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1600","QC4","Michell 1978:map","62.166668","37.616669","ADL4125737","59.59861","36.305","ADL2470118","620","98","P000","tmcZMEm1300_117a"
"Bukhara","UZ","Samarqand","UZ","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1600","QC4","Michell 1978:map","64.416664","39.799999","adlgaz-1-4227756-36","66.95","39.667","TGN7012290","232","141","P000","tmcZMEm1300_118a"
"Samarqand","UZ","Tashkent","UZ","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1600","QC4","Michell 1978:map","66.95","39.667","TGN7012290","69.3","41.333","Rigby 1984","141","162","P000","tmcZMEm1300_119a"
"Tashkent","UZ","loc08-tmc050418","KZ","N tip of the Aral Sea","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1600","QC4","Michell 1978:map","69.3","41.333","Rigby 1984","61.6667","46.8","www.fallingrain.com","162","2423","P000","tmcZMEm1300_120a"
"loc08-tmc050418","KZ","loc07-tmc050418","KZ","N tip of the Aral Sea; N tip of the Caspian Sea","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1600","QC4","Michell 1978:map","61.6667","46.8","www.fallingrain.com","51.883331","47.116669","ADL2659226","2423","624","P000","tmcZMEm1300_121a"
"Tashkent","UZ","Kokand","UZ","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1600","QC4","Michell 1978:map","69.3","41.333","Rigby 1984","70.949997","40.5","ADL4230703","162","219","P000","tmcZMEm1300_122a"
"Kokand","UZ","Kashgar","CN","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1600","QC4","Michell 1978:map","70.949997","40.5","ADL4230703","76.033","39.483","TGN","219","77","P000","tmcZMEm1300_123a"
"Kashgar","CN","Aksu","CN","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1600","QC4","Michell 1978:map","76.033","39.483","TGN","80.23333","41.25","ADL1635907","77","174","P000","tmcZMEm1300_124a"
"Aksu","CN","Kucha","CN","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1600","QC4","Michell 1978:map","80.23333","41.25","ADL1635907","82.900002","41.716667","ADL1615547","174","89","P000","tmcZMEm1300_125a"
"Kucha","CN","Turfan","CN","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1600","QC4","Michell 1978:map","82.900002","41.716667","ADL1615547","89.1","42.917","TGN7001479","89","170","P000","tmcZMEm1300_126a"
"Kashgar","CN","Yarkand","CN","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1600","QC4","Michell 1978:map","76.033","39.483","TGN","77.267","38.45","TGN7002000","77","149","P000","tmcZMEm1300_127a"
"Yarkand","CN","Khotan","CN","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1600","QC4","Michell 1978:map","77.267","38.45","TGN7002000","79.9166","37.1166","Rigby 1984","149","68","P000","tmcZMEm1300_128a"
"Khotan","CN","Niya","CN","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1600","QC4","Michell 1978:map","79.9166","37.1166","Rigby 1984","82.76667","37.066666","ADL1621410","68","222","P000","tmcZMEm1300_129a"
"Niya","CN","Charchan","CN","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1600","QC4","Michell 1978:map","82.76667","37.066666","ADL1621410","85.533333","38.133331","ADL1625388","222","697","P000","tmcZMEm1300_130a"
"Charchan","CN","Miran","CN","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1600","QC4","Michell 1978:map","85.533333","38.133331","ADL1625388","88.833336","39.25","ADL1621529","697","103","P000","tmcZMEm1300_131a"
"Samarqand","UZ","Termez","UZ","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1600","QC4","Michell 1978:map","66.95","39.667","TGN7012290","67.26667","37.233334","ADL4231515","141","532","P000","tmcZMEm1300_132a"
"Termez","UZ","Mazar-i-Sharif","AF","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1600","QC4","Michell 1978:map","67.26667","37.233334","ADL4231515","67.099998","36.700001","ADL1016983","532","1077","P000","tmcZMEm1300_133a"
"Mazar-i-Sharif","AF","Kabul","AF","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1600","QC4","Michell 1978:map","67.099998","36.700001","ADL1016983","69.183","34.517","TGN","1077","75","P000","tmcZMEm1300_134a"
"Kabul","AF","Jam","AF","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1600","QC4","Michell 1978:map","69.183","34.517","TGN","64.4833","34.35","www.fallingrain.com","75","2419","P000","tmcZMEm1300_135a"
"Jam","AF","Herat","AF","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1600","QC4","Michell 1978:map","64.4833","34.35","www.fallingrain.com","62.2","34.333","TGN","2419","60","P000","tmcZMEm1300_136a"
"Herat","AF","Torbat-e Jam","IR","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1600","QC4","Michell 1978:map","62.2","34.333","TGN","60.6219","35.2408","www.fallingrain.com","60","2420","P000","tmcZMEm1300_137a"
"Torbat-e Jam","AF","Mashhad","IR","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1600","QC4","Michell 1978:map","60.6219","35.2408","www.fallingrain.com","59.59861","36.305","ADL2470118","2420","98","P000","tmcZMEm1300_138a"
"Zahedan","IR","Kandahar","AF","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1600","QC4","Michell 1978:map","60.87278","29.497778","ADL2491178","65.717","31.617","TGN","665","131","P000","tmcZMEm1300_139a"
"Kandahar","AF","Ghazni","AF","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1600","QC4","Michell 1978:map","65.717","31.617","TGN","68.416664","33.549999","ADL1009245","131","514","P000","tmcZMEm1300_140a"
"Ghazni","AF","Kabul","AF","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1600","QC4","Michell 1978:map","68.416664","33.549999","ADL1009245","69.183","34.517","TGN","514","75","P000","tmcZMEm1300_141a"
"Kabul","AF","Peshawar","PK","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1600","QC4","Michell 1978:map","69.183","34.517","TGN","71.550003","34.016666","ADL3258652","75","224","P000","tmcZMEm1300_142a"
"Peshawar","PK","Lahore","PK","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1600","QC4","Michell 1978:map","71.550003","34.016666","ADL3258652","74.312775","31.571388","ADL3252984","224","555","P000","tmcZMEm1300_143a"
"Lahore","PK","Multan","PK","inferred route; not drawn","trd","rv","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1600","QC4","Michell 1978:map","74.312775","31.571388","ADL3252984","71.48333","30.183332","ADL3256483","555","105","P001","tmcZMEm1300_144a"
"Multan","PK","Kandahar","AF","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1600","QC4","Michell 1978:map","71.48333","30.183332","ADL3256483","65.717","31.617","TGN","105","131","P000","tmcZMEm1300_145a"
"Multan","PK","Delhi","IN","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1600","QC4","Michell 1978:map","71.48333","30.183332","ADL3256483","77.217","28.667","TGN7001535","105","814","P000","tmcZMEm1300_146a"
"Delhi","IN","Varanasi","IN","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1600","QC4","Michell 1978:map","77.217","28.667","TGN7001535","83","25.333332","ADL2436219 ","814","809","P000","tmcZMEm1300_147a"
"Varanasi","IN","Sasaram","IN","route drawn near Sasaram; not through it","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1600","QC4","Michell 1978:map","83","25.333332","ADL2436219 ","84.0333","24.95","www.fallingrain.com","809","2422","P002","tmcZMEm1300_148a"
"Sasaram","IN","Calcutta","IN","route drawn near Sasaram; not through it","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1300","1600","QC4","Michell 1978:map","84.0333","24.95","www.fallingrain.com","88.3697","22.5697","www.fallingrain.com","2422","2421","P002","tmcZMEm1300_149a"
